,ID,UMIN_ID,Japic_ID,JMA_ID,jRCT_ID
47475,UMIN000005889,UMIN000005889,,,
47518,UMIN000005879,UMIN000005879,,,
47700,UMIN000005707,UMIN000005707,,,
47846,UMIN000005586,UMIN000005586,,,
48307,UMIN000005103,UMIN000005103,,,
48397,UMIN000005086,UMIN000005086,,,
48763,UMIN000004528,UMIN000004528,,,
48794,UMIN000004700,UMIN000004700,,,
49131,UMIN000004346,UMIN000004346,,,
49212,UMIN000004204,UMIN000004204,,,
49258,UMIN000004230,UMIN000004230,,,
49381,UMIN000004147,UMIN000004147,,,
49550,UMIN000003992,UMIN000003992,,,
49773,UMIN000003823,UMIN000003823,,,
49869,JapicCTI-101160,,JapicCTI-101160,,
49902,UMIN000003670,UMIN000003670,,,
49945,UMIN000003651,UMIN000003651,,,
50067,UMIN000003534,UMIN000003534,,,
50396,UMIN000003237,UMIN000003237,,,
50435,UMIN000003197,UMIN000003197,,,
50937,UMIN000002709,UMIN000002709,,,
51160,UMIN000002484,UMIN000002484,,,
51251,UMIN000002419,UMIN000002419,,,
51316,JapicCTI-090834,,JapicCTI-090834,,
51417,UMIN000002213,UMIN000002213,,,
52600,UMIN000001090,UMIN000001090,,,
52746,UMIN000000929,UMIN000000929,,,
53051,UMIN000000653,UMIN000000653,,,
53089,JapicCTI-070356,,JapicCTI-070356,,
